id_lien,trafic_max,trafic_out,tdc,equipement,interface_equipement,role_A,configuration_A,client,interface_client,role_B,configuration_B,capacite_lien,isis_level,isis_metric,region_exploitation,date,intervalle_charge
PTN01411_PTN00256,4.1717021484375,0.717969970703125,13.905673828125002,PTN01411,lag-24,B,7750-SR7,PTN00256,lag-24,B,7750-SR7,30,1,10,SWT,2022-08-01,Inf 70%
PTN01411_PTN00256,4.1717021484375,0.717969970703125,13.905673828125002,PTN01411,lag-24,B,7750-SR7,PTN00256,lag-24,B,7750-SR7,30,1,10,SWT,2022-08-01,Inf 70%
PTN01411_PTN00256,4.1717021484375,0.717969970703125,13.905673828125002,PTN01411,lag-24,B,7750-SR7,PTN00256,lag-24,B,7750-SR7,30,1,10,SWT,2022-08-01,Inf 70%
PTN00027_PTN00033,1.2190614013671874,1.2190614013671874,6.095307006835937,PTN00027,lag-23,A,7750-SR12,PTN00033,lag-23,A,7750-SR12,20,1,10,WST,2022-08-01,Inf 70%
PTN00027_PTN00033,1.2190614013671874,1.2190614013671874,6.095307006835937,PTN00027,lag-23,A,7750-SR12,PTN00033,lag-23,A,7750-SR12,20,1,10,WST,2022-08-01,Inf 70%
PTN00122_PTN02295,1.899517578125,1.899517578125,4.7487939453125,PTN00122,lag-21,B,7750-SR7,PTN02295,lag-21,B,7750-SR7,40,1,10,IDF,2022-08-01,Inf 70%
PTN00122_PTN02295,1.899517578125,1.899517578125,4.7487939453125,PTN00122,lag-21,B,7750-SR7,PTN02295,lag-21,B,7750-SR7,40,1,10,IDF,2022-08-01,Inf 70%
PTN00122_PTN02295,1.899517578125,1.899517578125,4.7487939453125,PTN00122,lag-21,B,7750-SR7,PTN02295,lag-21,B,7750-SR7,40,1,10,IDF,2022-08-01,Inf 70%
PTN00122_PTN02295,1.899517578125,1.899517578125,4.7487939453125,PTN00122,lag-21,B,7750-SR7,PTN02295,lag-21,B,7750-SR7,40,1,10,IDF,2022-08-01,Inf 70%
PTN00606_PTN00608,7.48212548828125,0.5443931884765625,18.705313720703128,PTN00606,lag-22,B,7750-SR7,PTN00608,lag-22,B,7750-SR7,40,1,10,WST,2022-08-01,Inf 70%
PTN00606_PTN00608,7.48212548828125,0.5443931884765625,18.705313720703128,PTN00606,lag-22,B,7750-SR7,PTN00608,lag-22,B,7750-SR7,40,1,10,WST,2022-08-01,Inf 70%
PTN00606_PTN00608,7.48212548828125,0.5443931884765625,18.705313720703128,PTN00606,lag-22,B,7750-SR7,PTN00608,lag-22,B,7750-SR7,40,1,10,WST,2022-08-01,Inf 70%
PTN00606_PTN00608,7.48212548828125,0.5443931884765625,18.705313720703128,PTN00606,lag-22,B,7750-SR7,PTN00608,lag-22,B,7750-SR7,40,1,10,WST,2022-08-01,Inf 70%
