nom_equipement,port,interface_netwk,isis_level,isis_metric
PTN00911,4/2/2,TO_PTN01272_1/1/7,NA,NA
PTN01827,1/1/1,TO_PTN00894_4/2/3,1,1000
PTN00063,5/1/4,TO_PTN00064_LAG21,1,12
PTN00051,2/1/2,TO_PTN00050_LAG21,1,10
PTN02181,1/1/8,TO_PTN01076_1/4/6,1,1000
PTN00019,4/1/19,TO_PTN00576_1/1/7,NA,NA
PTN02223,1/3/1,TO_PTN00667_4/2/6,non trouve,non trouve
PTN00719,1/1/8,TO_PTN00718_1/1/7,NA,NA
PTN00318,5/1/11,TO_PTN00555_1/1/7,NA,NA
PTN00278,4/1/21,TO_PTN02359_1/1/7,NA,NA
PTN00646,1/1/1,TO_PTN00897_LAG-23,1,10
PTN00263,3/1/1,TO_PTN00262_LAG_20,1,11
PTN00794,3/1/1,TO_PTN00795_3/1/1,1,100
PTN00937,4/2/1,TO_PTN01377_1/1/7,NA,NA
PTN00319,2/1/2,TO_PTN00835_LAG20,1,10
PTN00057,7/1/1,TO_PTN00059_LAG20,1,11
PTN02232,1/2/8,TO_PTN00767_4/2/3,1,100
PTN02315,1/2/1,TO_PTN00611_4/1/14,1,100
PTN00165,1/2/7,TO_PTN01337_1/1/7,non trouve,non trouve
PTN00645,4/1/1,TO_PTN00895_LAG_21,1,10
PTN01338,1/1/7,TO_PTN00069_4/1/20,NA,NA
PTN00651,4/1/4,TO_PTN00469_LAG21,1,10
PTN00016,1/1/1,TO_PTN00015_1/1/1,1,10
PTN00144,2/1/1,TO_PTN00145_LAG20,1,10
PTN00347,1/6/2,TO_PTN00102_4/2/15,non trouve,non trouve
PTN01839,2/1/4,TO_PTN01865_2/1/4,1,10
PTN00032,1/1/2,TO_PTN00031_LAG21,1,10
PTN00316,5/2/3,TO_PTN00888_1/4/3,NA,NA
PTN02295,3/2/1,TO_PTN02241_1/1/1,non trouve,non trouve
PTN01003,4/1/3,TO_PTN00323_LAG20,1,10
PTN01458,1/1/2,TO_PTN00914_1/1/2,1,30
PTN00062,3/2/14,TO_PTN02311_1/1/1,NA,NA
PTN00974,3/2/2,TO_PTN01219_1/1/7,1,1000
PTN02403,3/2/16,TO_PTN01341_1/4/4,1,10
PTN00540,1/1/2,TO_PTN00543_1/1/2,1,60
PTN02052,1/1/7,TO_PTN00688_3/2/11,1,100
PTN00120,6/2/9,TO_PTN02294_1/1/7,NA,NA
PTN01452,4/1/8,TO_PTN00278_LAG22,1,10
PTN00042,3/1/3,TO_PTN00041_LAG20,1,10
PTN00135,1/2/2,TO_PTN00274_LAG_22,1,10
PTN00008,2/1/1,TO_PTN00007_LAG_23,1,10
PTN00284,5/1/2,TO_PTN00308_1/3/7,1,100
PTN00188,3/2/20,TO_PTN00194_1/1/7,NA,NA
PTN01344,1/1/7,TO_PTN00041_6/1/21,NA,NA
PTN00345,5/1/24,TO_PTN00981_1/2/7,NA,NA
PTN01061,1/1/7,TO_PTN00460_2/2/16,non trouve,non trouve
PTN00272,1/1/1,TO_PTN00273_LAG20,1,10
PTN00051,1/1/2,TO_PTN00052_LAG20,1,10
PTN00289,1/5/7,TO_PTN01085_4/1/1,1,100
PTN01226,3/2/7,TO_PTN01388_1/1/1,NA,NA
PTN00911,5/1/2,TO_PTN02403_LAG21,1,10
PTN00218,7/1/4,TO_PTN02391_LAG25,1,10
PTN00336,5/1/21,TO_PTN01136_1/1/7,NA,NA
PTN00214,2/1/1,TO_PTN00213_LAG21,non trouve,non trouve
PTN00558,4/2/1,TO_PTN01012_1/1/7,NA,NA
PTN00631,2/1/1,TO_PTN00632_1/1/1,1,10
PTN00899,4/1/23,TO_PTN01872_1/2/5,1,100
PTN00331,2/1/3,TO_PTN00565_LAG21,1,10
PTN00239,3/1/2,TO_PTN00792_LAG21,1,10
PTN00096,9/2/4,TO_PTN00345_3/1/1,1,625
PTN00879,1/4/1,TO_PTN01444_3/2/19,non trouve,non trouve
PTN01458,3/1/1,TO_PTN01438_1/3/1,1,100
PTN00308,1/3/8,TO_PTN01300_1/1/7,NA,NA
PTN02367,1/1/3,TO_PTN00601_LAG20,1,100
PTN00755,1/1/7,TO_PTN00542_3/2/13,NA,NA
PTN00196,1/1/3,TO_PTN00252_LAG22,1,10
PTN01881,1/1/1,TO_PTN00509_5/1/6,non trouve,non trouve
PTN00007,1/1/2,TO_PTN00043_LAG_24,1,10
PTN00005,10/1/1,TO_PTN00046_LAG_25,1,10
PTN01469,1/8/8,TO_PTN02377_3/1/1,1,100
PTN01102,1/6/7,TO_PTN00063_3/1/18,non trouve,non trouve
PTN01355,1/2/7,TO_PTN01067_1/1/7,NA,NA
PTN01463,1/1/1,TO_PTN01416_1/1/2,1,100
PTN00820,2/1/1,TO_PTN00825_LAG_20,1,10
PTN00347,1/3/7,TO_PTN01354_1/1/7,non trouve,non trouve
PTN01144,1/1/7,TO_PTN00918_4/1/1,NA,NA
PTN02280,1/1/1,TO_PTN00060_3/2/5,1,100
PTN00189,4/1/19,TO_PTN00472_1/1/7,NA,NA
PTN02050,1/2/8,TO_PTN00666_4/2/17,non trouve,non trouve
PTN01759,1/2/5,TO_PTN00259_5/1/5,1,10
PTN00626,1/1/7,TO_PTN00132_4/1/20,NA,NA
PTN01449,1/1/3,TO_PTN02323_LAG22,1,10
PTN00341,4/2/15,TO_PTN01022_1/1/7,non trouve,non trouve
PTN01093,1/5/7,TO_PTN02340_1/1/1,non trouve,non trouve
