nom_equipement,port,interface_netwk,isis_level,isis_metric
PTN01451,1/2/2,TO_PTN01075_LAG20,1,100
PTN00124,2/1/1,TO_PTN00125_LAG20_WDM_FTTA,1,10
PTN02209,1/1/3,TO_PTN02305_1/1/1,NA,NA
PTN00192,1/1/3,TO_PTN00191_LAG_21,non trouve,non trouve
PTN01386,1/1/7,TO_PTN01727_2/1/24,NA,NA
PTN00229,5/1/2,TO_PTN00227_LAG_21,1,10
PTN00266,2/1/3,TO_PTN00661_2/1/1,1,10
PTN02406,4/1/2,TO_PTN01086_LAG-21,1,10
PTN00560,2/2/1,TO_PTN00810_3/2/1,1,100
PTN00897,2/2/4,TO_PTN00646_4/1/5,1,110
PTN00209,10/1/12,TO_PTN02404_1/1/5,1,10
PTN00447,3/2/9,TO_PTN01257_1/1/7,non trouve,non trouve
PTN00611,1/1/3,TO_PTN000612_LAG_22,1,10
PTN00119,3/2/2,TO_PTN00938_3/1/4,1,100
PTN00738,1/5/1,TO_PTN00507_4/2/3,1,300
PTN00446,3/1/1,TO_PTN01457_3/1/2,1,100
PTN00002,4/2/15,TO_PTN01499_1/1/7,NA,NA
PTN01053,1/1/1,TO_PTN00130_LAG20,1,10
PTN01226,1/1/3,TO_PTN00126_LAG23,1,40
PTN00820,2/1/2,TO_PTN00825_LAG_20,1,10
PTN00433,1/1/7,TO_PTN00243_3/1/20,NA,NA
PTN00461,3/1/3,TO_PTN00343_5/1/1,1,1000
PTN00282,4/2/3,TO_PTN00761_3/2/1,1,100
PTN00124,4/1/2,TO_PTN02382_1/2/5,1,10
PTN00904,1/1/3,TO_PTN00765_LAG20,1,10
PTN00463,4/2/8,TO_PTN01055_1/1/7,NA,NA
PTN01129,1/4/1,TO_PTN01495_1/4/2,non trouve,non trouve
PTN01849,1/1/7,TO_PTN01848_1/1/8,1,100
PTN00902,1/1/2,TO_PTN00217_LAG25,1,20
PTN00051,3/2/7,TO_PTN02334_1/1/1,NA,NA
PTN01403,2/1/2,TO_PTN00648_LAG_20,1,10
PTN00259,8/1/3,TO_PTN01459_LAG_21,1,10
PTN02022,bundle-ppp-1/2.1,TO_PTN00457_bundle-ppp-1/4/12,NA,NA
PTN02394,2/1/4,TO_PTN02379_LAG21,1,10
PTN02220,1/3/2,TO_PTN00486_4/1/14,non trouve,non trouve
PTN00021,5/2/4,TO_PTN00022_LAG20,2,10
PTN00272,2/1/1,TO_PTN00267_LAG21,1,30
PTN00107,3/1/11,TO_PTN00359_1/1/7,NA,NA
PTN00352,1/1/1,TO_PTN00354_LAG21,1,10
PTN00130,5/2/4,TO_PTN00131_LAG21,1,10
PTN00106,3/2/7,TO_PTN00757_1/4/1,non trouve,non trouve
PTN02071,1/1/7,TO_PTN00568_3/2/18,NA,NA
PTN00057,8/1/4,TO_PTN01236_LAG26,1,50
PTN00023,3/1/2,TO_PTN00631_1/1/1,1,10
PTN00336,4/2/15,TO_PTN01104_1/4/3,1,1000
PTN00316,5/1/11,TO_PTN00516_1/1/7,NA,NA
PTN01728,1/2/18,TO_PTN00987_1/3/8,non trouve,non trouve
PTN00835,4/1/5,TO_PTN00851_3/1/5,1,100
PTN00269,1/1/1,TO_PTN00266_LAG_23,1,10
PTN00794,3/2/18,TO_PTN01328_1/1/7,NA,NA
PTN01452,3/2/1,TO_PTN01906_1/1/8,1,200
PTN00462,4/1/2,TO_PTN01077_LAG20,1,20
PTN00264,2/1/1,TO_PTN00267_LAG_20,1,10
PTN00447,2/2/5,TO_PTN00103_3/2/2,1,100
PTN00111,9/2/5,TO_PTN00650_LAG28,1,10
PTN00102,4/1/6,TO_PTN00101_4/1/6,1,100
PTN01872,1/2/4,TO_PTN00899_4/2/3,1,100
PTN02197,1/1/5,TO_PTN02291_1/2/5,non trouve,non trouve
PTN00052,2/2/4,TO_PTN01215_1/1/7,NA,NA
PTN00938,3/2/9,TO_PTN01183_1/1/7,NA,NA
PTN02344,1/2/14,TO_PTN01483_1/1/7,non trouve,non trouve
PTN01236,1/1/3,TO_PTN00057_LAG26,1,50
PTN00054,5/1/4,TO_PTN00059_LAG21,1,10
PTN00110,3/1/1,TO_PTN00343_LAG_21,1,20
PTN00767,2/1/2,TO_PTN00764_LAG_20,1,10
PTN00541,1/2/3,TO_PTN00136_4/1/6,1,60
PTN01886,1/4/8,TO_PTN00278_4/1/19,non trouve,non trouve
PTN00035,2/1/1,TO_PTN00036_LAG21_WDM_FTTA,1,10
PTN00541,4/1/2,TO_PTN00136_5/1/4,1,60
PTN00135,3/2/1,TO_PTN00672_1/3/2,1,100
PTN00212,2/1/1,TO_PTN00211_LAG21,1,10
PTN00110,8/1/2,TO_PTN00343_LAG_21,1,20
PTN01456,2/1/2,TO_PTN00773_LAG23,1,10
PTN00060,3/2/16,TO_PTN02280_1/1/5,1,100
PTN01451,1/4/1,TO_PTN01449_LAG21,1,100
PTN01246,1/1/7,TO_PTN00794_3/2/9,NA,NA
PTN00469,2/1/1,TO_PTN00651_LAG21,1,10
PTN00047,1/1/2,TO_PTN00014_LAG24,1,11
PTN00238,1/1/1,TO_PTN00239_LAG20,1,11
PTN00767,3/2/7,TO_PTN02067_1/1/1,NA,NA
PTN01072,1/1/6,TO_PTN00041_8/1/4,non trouve,non trouve
PTN02191,1/2/8,TO_PTN00523_4/2/6,1,1000
PTN00997,1/1/7,TO_PTN00332_5/1/21,NA,NA
PTN02454,1/1/2,TO_PTN00667_LAG22,1,10
PTN00666,2/1/3,TO_PTN02454_LAG23,1,10
PTN01728,1/2/2,TO_PTN00136_4/1/10,1,70
PTN00282,1/1/3,TO_PTN00283_LAG22,1,10
PTN00066,2/1/1,TO_PTN00056_LAG22_WDM_FTTA,1,10
PTN00446,2/2/7,TO_PTN00448_4/1/8,1,180
PTN00461,3/1/6,TO_PTN00343_4/2/6,1,1000
PTN00250,1/1/1,TO_PTN00251_LAG20,1,11
PTN00543,4/1/3,TO_PTN00136_5/1/8,1,100
PTN00282,2/1/2,TO_PTN00694_1/2/5,1,1000
PTN00692,2/1/1,TO_PTN00685_LAG21,1,10
PTN00209,1/1/8,TO_PTN00210_LAG20,1,11
PTN00193,1/6/4,TO_PTN02360_3/2/15,1,10
PTN00060,4/1/13,TO_PTN01346_1/3/7,non trouve,non trouve
PTN02406,2/1/3,TO_PTN01086_LAG-21,1,10
PTN01763,1/1/1,TO_PTN00335_5/2/8,non trouve,non trouve
PTN00631,4/2/6,TO_PTN01397_1/1/7,NA,NA
PTN00612,3/2/18,TO_PTN01054_1/2/7,NA,NA
PTN00114,2/1/1,TO_PTN00113_LAG_20,1,10
PTN02007,2/1/3,TO_PTN00972_LAG21,1,20
PTN00482,2/1/3,TO_PTN00481_LAG22,1,10
PTN01775,1/1/1,TO_PTN00905_4/2/1,1,2000
PTN00610,1/1/1,TO_PTN02428_LAG-20,1,10
PTN00666,5/1/4,TO_PTN01343_1/2/5,1,10
PTN00504,2/2/1,TO_PTN02201_LAG20,1,100
PTN02245,4/1/4,TO_PTN00977_1/2/8,1,10000
PTN00198,2/1/2,TO_PTN00196_LAG_21,1,10
PTN00971,1/1/7,TO_PTN00110_5/1/11,NA,NA
PTN01135,1/4/2,TO_PTN01766_1/1/4,non trouve,non trouve
PTN00463,2/1/4,TO_PTN00649_LAG-22,1,10
PTN00297,2/2/1,TO_PTN00296_2/2/2,1,100
PTN01448,3/1/20,TO_PTN01859_1/1/7,NA,NA
PTN00648,4/2/12,TO_PTN02313_1/1/1,1,1000
PTN01457,3/1/3,TO_PTN02245_3/1/3,1,100
PTN00249,2/1/4,TO_PTN00246_LAG_21,1,10
PTN01151,1/4/3,TO_PTN00920_4/1/12,1,1000
PTN01983,1/2/5,TO_PTN00766_4/1/1,1,10
PTN00101,2/1/2,TO_PTN00097_2/1/2,1,10
PTN00133,4/2/5,TO_PTN02415_1/1/1,NA,NA
PTN00629,4/2/3,TO_PTN01466_1/1/7,NA,NA
PTN00110,2/1/3,TO_PTN00041_2/1/3,1,10
PTN00544,4/2/20,TO_PTN01898_1/1/1,NA,NA
PTN00095,3/1/1,TO_PTN00104_LAG21,1,10
PTN01292,1/2/5,TO_PTN01081_5/1/2,non trouve,non trouve
PTN00020,4/2/16,TO_PTN02198_1/1/1,NA,NA
PTN00135,1/2/4,TO_PTN00109_LAG_21,1,20
PTN00024,7/1/10,TO_PTN00023_LAG20,1,10
PTN00765,2/1/1,TO_PTN00027_LAG21,1,10
PTN02195,1/2/2,TO_PTN02254_1/1/1,non trouve,non trouve
PTN00216,1/1/2,TO_PTN00226_2/1/1,1,10
PTN00461,3/1/2,TO_PTN00893_3/1/2,1,180
PTN02360,1/1/2,TO_PTN00004_LAG23,1,10
PTN00485,4/2/12,TO_PTN02172_1/1/7,non trouve,non trouve
PTN00615,1/1/1,TO_PTN00919_1/1/1,1,10
PTN01812,1/1/8,TO_PTN00905_LAG_22,1,1000
PTN02176,1/1/1,TO_PTN00053_3/1/23,NA,NA
PTN01084,2/2/11,TO_PTN01263_1/1/7,NA,NA
PTN01257,1/2/7,TO_PTN01366_1/1/7,non trouve,non trouve
PTN01411,1/2/18,TO_PTN02366_LAG21,1,100
PTN00141,3/1/17,TO_PTN00369_1/1/7,non trouve,non trouve
PTN00001,3/2/18,TO_PTN01378_1/1/7,NA,NA
PTN00226,2/1/1,TO_PTN00216_1/1/2,1,10
PTN01174,1/1/7,TO_PTN00009_4/1/21,NA,NA
PTN00912,3/2/9,TO_PTN01221_1/1/7,NA,NA
PTN00910,2/2/1,TO_PTN00330_4/2/1,1,100
PTN01293,1/2/7,TO_PTN01294_1/1/7,NA,NA
PTN00135,4/1/1,TO_PTN00109_LAG_21,1,20
PTN01875,1/1/1,TO_PTN00608_3/2/21,1,100
PTN02464,1/1/4,TO_PTN00773_LAG25,1,10
PTN00221,1/1/1,TO_PTN00220_2/1/1,1,10
PTN00042,1/1/11,TO_PTN00278_2/1/3,1,100
PTN00013,4/1/15,TO_PTN01142_1/1/7,NA,NA
PTN00343,5/1/12,TO_PTN00462_3/1/12,1,90
PTN00320,5/1/22,TO_PTN01112_1/1/7,NA,NA
PTN00164,1/4/8,TO_PTN01381_1/3/8,NA,NA
PTN00316,2/1/1,TO_PTN00197_LAG22,1,10
PTN00928,1/2/51,TO_PTN01187_1/1/1,NA,NA
PTN00347,1/6/1,TO_PTN00102_4/2/14,non trouve,non trouve
PTN00020,2/2/52,TO_PTN01042_1/1/1,NA,NA
PTN00115,9/1/1,TO_PTN00694_1/1/5,1,1000
PTN00316,3/1/2,TO_PTN01079_3/1/4,1,100
PTN00460,4/1/2,TO_PTN00463_LAG21,1,30
PTN01008,3/1/24,TO_PTN01310_1/5/7,non trouve,non trouve
PTN01458,3/1/24,TO_PTN01858_1/3/7,non trouve,non trouve
PTN00910,3/2/15,TO_PTN01196_1/4/3,non trouve,non trouve
PTN00063,5/1/1,TO_PTN00056_LAG24,1,20
PTN00004,1/1/2,TO_PTN00062_LAG_22,1,10
PTN00128,1/1/2,TO_PTN00127_LAG23,1,10
PTN00752,1/4/1,TO_PTN00274_4/2/3,1,1000
PTN00453,1/1/7,TO_PTN00323_5/2/16,NA,NA
PTN01110,1/2/7,TO_PTN01111_1/1/7,NA,NA
PTN00248,4/1/4,TO_PTN01409_1/3/1,1,100
PTN00062,2/1/1,TO_PTN00004_LAG_22,1,10
PTN02370,1/1/1,TO_PTN01444_3/2/13,non trouve,non trouve
PTN00341,5/1/15,TO_PTN01022_1/4/4,non trouve,non trouve
PTN01420,1/4/8,TO_PTN00613_3/2/5,1,300
PTN00216,8/1/4,TO_PTN00621_Lag-22,1,50
PTN01731,1/1/1,TO_PTN00250_LAG24,1,10
PTN00561,1/9/1,TO_PTN00810_4/1/3,1,100
PTN02356,1/1/3,TO_PTN00629_LAG20,1,10
PTN00267,3/1/1,TO_PTN00264_LAG_20,1,10
PTN00253,3/1/1,TO_PTN00252_LAG_20,1,11
PTN01832,1/1/1,TO_PTN01169_1/1/8,non trouve,non trouve
PTN01087,1/1/1,TO_PTN01458_LAG21,1,10
PTN01855,1/1/7,TO_PTN01446_3/1/19,non trouve,non trouve
PTN01840,1/1/5,TO_PTN00098_1/1/2,NA,NA
PTN00767,3/2/14,TO_PTN02242_1/2/4,non trouve,non trouve
PTN00024,3/1/1,TO_PTN00022_LAG21,1,11
PTN00200,1/1/2,TO_PTN00201_LAG_20,1,10
PTN00191,2/1/2,TO_PTN00192_LAG_21,non trouve,non trouve
PTN00180,1/7/1,TO_PTN01727_2/1/1,1,200
PTN00462,1/2/3,TO_PTN01077_LAG20,1,20
PTN02434,1/1/5,TO_PTN00096_10/1/2,1,10
PTN01469,1/7/7,TO_PTN01765_1/2/6,non trouve,non trouve
PTN00026,8/1/1,TO_PTN01406_LAG_21,1,20
PTN00109,3/2/1,TO_PTN00108_4/1/20,1,100
PTN02262,1/3/3,TO_PTN00899_4/2/7,1,100
PTN01397,1/1/7,TO_PTN00631_4/2/6,NA,NA
PTN01131,1/4/1,TO_PTN01989_1/1/1,non trouve,non trouve
PTN02194,1/1/2,TO_PTN02193_1/3/7,1,100
PTN00650,1/2/3,TO_PTN00466_LAG22,1,10
PTN00291,1/6/1,TO_PTN00288_1/6/1,1,100
PTN00443,1/3/7,TO_PTN00558_4/2/20,NA,NA
PTN00128,3/1/21,TO_PTN01912_1/1/1,NA,NA
PTN00005,3/1/2,TO_PTN00021_1/1/2,1,10
PTN00110,6/2/1,TO_PTN00970_1/4/1,non trouve,non trouve
PTN00228,2/1/1,TO_PTN01082_LAG23,1,10
PTN01480,1/2/5,TO_PTN01402_5/1/6,1,10
PTN00125,4/1/14,TO_PTN02167_1/1/8,non trouve,non trouve
PTN01100,1/3/7,TO_PTN00651_3/2/20,NA,NA
PTN01870,1/1/2,TO_PTN01880_1/1/1,non trouve,non trouve
PTN01129,1/5/8,TO_PTN02226_1/1/1,1,1000
PTN00111,2/1/1,TO_PTN00110_LAG20,1,10
PTN00352,2/1/1,TO_PTN00353_LAG20,1,10
PTN02287,2/1/1,TO_PTN00250_5/2/2,1,10
PTN00210,7/2/3,TO_PTN00822_LAG_21,1,10
PTN00114,4/1/22,TO_PTN00953_1/1/7,NA,NA
PTN00825,2/1/3,TO_PTN00820_LAG_20,1,10
PTN01460,1/4/2,TO_PTN00892_LAG22,1,100
PTN00041,4/1/12,TO_PTN01072_1/1/6,non trouve,non trouve
PTN01764,1/3/1,TO_PTN00483_3/2/13,1,100
PTN00612,1/1/3,TO_PTN000611_LAG_22,1,10
PTN00582,1/1/7,TO_PTN00020_4/1/11,NA,NA
PTN02007,1/1/3,TO_PTN02379_LAG22,1,10
PTN00096,5/1/5,TO_PTN00095_LAG25,1,11
PTN01369,1/1/7,TO_PTN00340_5/1/23,NA,NA
PTN00285,4/2/3,TO_PTN01006_3/1/1,1,100
PTN00666,2/1/2,TO_PTN00335_LAG22,1,10
PTN00027,10/1/3,TO_PTN00026_LAG20,1,10
PTN02018,1/1/2,TO_PTN02019_1/1/1,non trouve,non trouve
PTN00128,1/1/1,TO_PTN00127_LAG23,1,10
PTN00557,2/1/1,TO_PTN00548_2/1/2,1,10
PTN00558,3/1/1,TO_PTN00564_2/2/1,1,645
PTN00023,3/1/1,TO_PTN00021_LAG21,1,10
PTN00204,1/1/2,TO_PTN00205_LAG_20,1,10
PTN00609,2/1/2,TO_PTN000611_LAG_21,1,10
PTN00243,3/1/20,TO_PTN00433_1/1/7,NA,NA
PTN01455,2/1/1,TO_PTN02345_1/1/1,1,100
PTN02398,1/4/6,TO_PTN01447_1/2/4,1,1000
PTN00558,4/2/2,TO_PTN00990_1/1/7,NA,NA
PTN00210,2/1/3,TO_PTN01401_LAG25,1,10
PTN00274,2/1/2,TO_PTN00134_LAG_20,1,10
PTN00267,10/1/1,TO_PTN00266_LAG_1,1,11
PTN00206,2/1/3,TO_PTN00207_LAG_20,1,10
PTN01417,1/4/2,TO_PTN02394_LAG20,1,100
PTN00246,1/1/3,TO_PTN00247_LAG_20,1,10
PTN00335,5/2/8,TO_PTN01763_1/1/1,non trouve,non trouve
PTN01082,1/1/2,TO_PTN00228_LAG23,1,10
PTN00666,4/2/16,TO_PTN01999_1/1/8,non trouve,non trouve
PTN00666,4/2/17,TO_PTN02050_1/2/8,non trouve,non trouve
PTN00462,1/2/4,TO_PTN01077_LAG20,1,20
PTN00324,4/1/1,TO_PTN00624_LAG21,1,10
PTN00373,1/1/7,TO_PTN00187_3/1/19,non trouve,non trouve
PTN01428,2/1/2,TO_PTN00263_LAG22,1,10
PTN02418,1/4/1,TO_PTN00136_5/1/14,non trouve,non trouve
PTN02168,bundle-ppp-1/2.1,TO_PTN02364_bundle-ppp-1/2/6,NA,NA
PTN01081,1/1/3,TO_PTN00250_LAG_22,1,10
PTN00053,1/1/1,TO_PTN00015_LAG_20,1,10
PTN01759,1/1/1,TO_PTN00484_4/2/4,1,1000
PTN00503,1/1/4,TO_PTN00342_LAG_20,1,10
PTN00006,10/2/1,TO_PTN01931_LAG24,1,10
PTN00609,2/1/1,TO_PTN000611_LAG_21,1,10
PTN02392,1/1/7,TO_PTN01864_1/1/4,1,100
PTN00012,1/1/2,TO_PTN00013_LAG20,1,10
PTN00458,4/1/14,TO_PTN01014_LAG1,non trouve,non trouve
PTN00057,2/1/2,TO_PTN00131_LAG23,1,10
PTN00200,1/1/4,TO_PTN00199_LAG_21,1,10
PTN00065,2/1/1,TO_PTN01236_LAG20,1,10
PTN00328,1/1/2,TO_PTN00197_LAG24,1,20
PTN00108,1/1/4,TO_PTN01452_LAG24 ,1,10
PTN00637,bundle-ppp-1/5.8,TO_PTN01777_bundle-ppp-1/2/1,NA,NA
PTN00650,1/2/4,TO_PTN00466_LAG22,1,10
PTN02283,4/1/3,TO_PTN00484_LAG21,1,10
PTN00296,3/1/2,TO_PTN00297_3/1/1,1,100
PTN01865,1/1/4,TO_PTN01839_2/1/4,1,10
PTN00013,1/1/1,TO_PTN00014_LAG23,1,10
PTN02466,3/1/2,TO_PTN01460_1/6/2,1,1000
PTN01281,1/4/7,TO_PTN01280_1/4/7,non trouve,non trouve
PTN00020,4/1/13,TO_PTN01203_1/1/7,NA,NA
PTN01887,1/4/4,TO_PTN02331_1/1/1,NA,NA
PTN01405,1/1/1,TO_PTN00209_8/1/2,1,10
PTN00259,10/1/1,TO_PTN00336_LAG28,1,10
PTN02191,1/3/7,TO_PTN00523_3/2/3,1,1000
PTN02422,1/3/1,TO_PTN01884_1/2/2,1,1000
PTN00248,4/1/3,TO_PTN00901_2/2/5,1,100
PTN02428,3/1/8,TO_PTN01420_LAG-21,1,10
PTN00332,5/1/11,TO_PTN00514_1/1/7,NA,NA
PTN00288,1/3/7,TO_PTN00291_1/2/7,1,100
PTN01422,1/4/8,TO_PTN02287_LAG1,1,100
PTN00502,3/2/2,TO_PTN01163_1/1/7,NA,NA
PTN01235,1/4/1,TO_PTN00900_4/2/6,1,1000
PTN00040,4/2/17,TO_PTN00034_4/2/17,1,200
PTN00609,2/1/4,TO_PTN000611_LAG_21,1,10
PTN01860,1/1/7,TO_PTN02407_3/2/10,non trouve,non trouve
PTN00246,1/1/1,TO_PTN00247_LAG_20,1,10
PTN00017,2/1/1,TO_PTN00022_LAG_24,1,10
PTN00050,1/1/1,TO_PTN00051_LAG21,1,10
PTN00101,2/1/3,TO_PTN00095_5/2/1,1,10
PTN01428,1/1/1,TO_PTN00262_LAG23,1,10
PTN00209,6/1/3,TO_PTN00725_1/1/5,non trouve,non trouve
PTN00209,1/1/1,TO_PTN00210_LAG20,1,11
PTN01349,1/1/7,TO_PTN01350_1/1/8,non trouve,non trouve
PTN00512,1/1/7,TO_PTN00331_5/1/11,NA,NA
PTN00319,5/1/21,TO_PTN01241_1/1/7,NA,NA
PTN00266,1/1/2,TO_PTN00684_1/1/2,1,10
PTN00284,2/1/3,TO_PTN00115_LAG22,1,10
PTN00058,3/1/19,TO_PTN00867_1/1/7,NA,NA
PTN00326,1/1/1,TO_PTN00328_LAG20,1,10
PTN00502,1/1/4,TO_PTN00341_LAG_20,1,10
PTN00466,2/1/4,TO_PTN00650_LAG22,1,10
PTN00106,2/1/3,TO_PTN00095_LAG_22,1,10
PTN00341,4/2/11,TO_PTN01028_1/4/2,non trouve,non trouve
PTN00565,1/1/1,TO_PTN00331_LAG21,1,10
PTN02379,2/1/1,TO_PTN02007_LAG22,1,10
PTN00110,5/1/11,TO_PTN00971_1/1/7,NA,NA
PTN01336,1/1/7,TO_PTN00066_4/1/20,non trouve,non trouve
PTN00403,1/4/4,TO_PTN00252_5/1/18,1,100
PTN01226,3/2/5,TO_PTN00370_1/1/7,non trouve,non trouve
PTN00816,1/5/6,TO_PTN02385_3/1/23,1,10
PTN00130,4/1/1,TO_PTN01053_3/1/2,1,110
PTN00258,1/1/4,TO_PTN00261_LAG26,1,10
PTN00262,3/1/2,TO_PTN00263_LAG_20,1,11
PTN00331,3/2/7,TO_PTN02187_1/2/7,non trouve,non trouve
PTN00323,5/1/12,TO_PTN00520_1/1/7,NA,NA
PTN00269,1/1/4,TO_PTN00266_LAG_23,1,10
PTN00228,5/1/1,TO_PTN00229_LAG_20,1,10
PTN01290,1/2/7,TO_PTN01293_1/1/7,NA,NA
PTN02373,1/1/2,TO_PTN00482_LAG-20,1,10
PTN00036,3/2/5,TO_PTN00035_3/2/5,1,100
PTN00197,3/1/4,TO_PTN00196_LAG20,1,10
PTN00056,5/1/15,TO_PTN02339_1/1/7,NA,NA
PTN00261,5/1/11,TO_PTN02229_1/1/1,non trouve,non trouve
PTN00023,7/1/3,TO_PTN00021_LAG21,1,10
PTN00108,5/1/4,TO_PTN00042_LAG21,1,10
PTN01446,3/1/20,TO_PTN01855_1/2/7,non trouve,non trouve
PTN01104,1/3/8,TO_PTN00336_4/2/14,1,1000
PTN00127,3/2/20,TO_PTN01068_1/1/7,NA,NA
PTN01814,1/1/1,TO_PTN00255_5/1/24,non trouve,non trouve
PTN01071,1/1/7,TO_PTN01070_1/1/8,1,1000
PTN00647,4/2/20,TO_PTN02049_1/1/1,non trouve,non trouve
PTN00429,1/1/7,TO_PTN00240_4/1/19,NA,NA
PTN01458,4/1/4,TO_PTN01087_LAG21,1,10
PTN00890,3/2/1,TO_PTN00975_3/2/1,1,100
PTN00342,3/1/6,TO_PTN01036_1/3/7,non trouve,non trouve
PTN02302,1/1/1,TO_PTN02301_1/1/2,NA,NA
PTN00337,1/1/4,TO_PTN00764_LAG21,1,10
PTN00316,4/1/1,TO_PTN00844_1/1/7,non trouve,non trouve
PTN01994,1/1/4,TO_PTN00305_1/3/7,non trouve,non trouve
PTN00484,4/2/7,TO_PTN02058_1/2/1,non trouve,non trouve
PTN01766,1/1/4,TO_PTN01135_1/4/2,non trouve,non trouve
PTN00017,1/1/1,TO_PTN00018_LAG_23,1,10
PTN00210,6/2/6,TO_PTN01401_4/2/8,1,100
PTN01469,1/6/8,TO_PTN02377_2/2/1,1,100
PTN00892,2/1/1,TO_PTN01460_LAG21,1,100
PTN00938,3/1/2,TO_PTN00936_3/2/1,1,100
PTN01112,1/1/7,TO_PTN00320_5/1/22,NA,NA
PTN01411,1/1/4,TO_PTN00972_LAG22,1,40
PTN00266,3/1/1,TO_PTN00271_LAG_22,1,10
PTN01410,3/1/2,TO_PTN02367_3/1/10,1,1000
PTN00462,4/1/1,TO_PTN01077_LAG20,1,20
PTN00263,7/1/1,TO_PTN02402_1/3/6,1,100
PTN00481,4/2/14,TO_PTN00829_1/4/6,non trouve,non trouve
PTN00102,4/2/18,TO_PTN01932_1/1/3,non trouve,non trouve
PTN01725,1/2/6,TO_PTN02345_3/1/20,1,1000
PTN01122,1/2/1,TO_PTN01118_1/1/1,NA,NA
PTN02367,2/1/1,TO_PTN00920_LAG22,1,80
PTN00651,1/2/1,TO_PTN00469_LAG21,1,10
PTN00272,4/1/19,TO_PTN00696_1/1/7,NA,NA
PTN00793,1/1/3,TO_PTN00523_LAG22,1,10
PTN00836,2/2/1,TO_PTN00216_3/2/10,1,100
PTN01213,1/1/7,TO_PTN00098_4/1/21,NA,NA
PTN01908,1/2/5,TO_PTN02004_1/2/5,non trouve,non trouve
PTN00103,1/1/3,TO_PTN01323_1/1/7,NA,NA
PTN00343,5/2/14,TO_PTN01093_1/4/3,1,100
PTN01406,3/2/4,TO_PTN02375_1/2/2,NA,NA
PTN02268,1/1/1,TO_PTN02219_1/2/1,non trouve,non trouve
PTN01412,1/2/1,TO_PTN00523_LAG24,1,100
PTN00042,10/1/1,TO_PTN00651_LAG22,1,10
PTN00127,1/1/3,TO_PTN00128_LAG23,1,10
PTN00278,4/2/13,TO_PTN01886_1/4/7,non trouve,non trouve
PTN01336,1/4/5,TO_PTN00066_3/2/16,non trouve,non trouve
PTN00767,4/2/2,TO_PTN01135_1/1/7,1,100
PTN00016,9/1/1,TO_PTN00012_LAG23,1,10
PTN01854,1/5/8,TO_PTN01447_1/2/2,non trouve,non trouve
PTN00107,3/2/3,TO_PTN00986_1/1/7,non trouve,non trouve
PTN00469,2/1/3,TO_PTN00458_LAG20,1,10
PTN00034,2/1/3,TO_PTN00035_LAG_20,1,40
PTN00447,3/1/3,TO_PTN00103_4/1/3,1,100
PTN00404,1/1/7,TO_PTN00252_6/2/16,NA,NA
PTN01083,2/2/1,TO_PTN01722_1/1/1,1,100
PTN00466,4/1/3,TO_PTN01214_1/2/7,non trouve,non trouve
PTN00038,1/1/3,TO_PTN00041_LAG_24,1,10
PTN01403,2/1/1,TO_PTN00648_LAG_20,1,10
PTN00017,2/1/2,TO_PTN00022_LAG_24,1,10
PTN01236,1/1/1,TO_PTN00065_LAG20,1,10
PTN01457,3/1/2,TO_PTN00446_3/1/1,1,100
PTN01458,2/1/1,TO_PTN01086_LAG20,1,40
PTN00335,2/1/3,TO_PTN00666_LAG22,1,10
PTN01458,2/1/3,TO_PTN02343_LAG23,1,10
PTN00006,8/1/3,TO_PTN00007_1/1/1,1,10
PTN00036,2/1/1,TO_PTN00037_LAG20_WDM_FTTA,1,10
PTN02296,1/1/1,TO_PTN00028_LAG21,1,10
PTN00546,1/1/4,TO_PTN00196_LAG23,1,10
PTN00146,2/1/2,TO_PTN01456_LAG20,1,10
PTN00894,1/1/2,TO_PTN02385_LAG22,1,10
PTN00482,2/1/2,TO_PTN02373_LAG-20,1,10
PTN00471,1/1/7,TO_PTN00188_3/1/19,NA,NA
PTN00209,3/1/4,TO_PTN01407_LAG23,1,10
PTN01420,1/1/4,TO_PTN02428_LAG21,1,10
PTN00202,1/1/2,TO_PTN00203_LAG_20,1,10
PTN02374,1/2/1,TO_PTN01402_4/2/10,1,100
PTN00330,5/1/22,TO_PTN00870_1/3/7,NA,NA
PTN00062,3/2/2,TO_PTN02293_1/1/1,NA,NA
PTN00561,1/7/1,TO_PTN00810_3/2/2,1,100
PTN01058,1/4/8,TO_PTN00463_4/1/7,non trouve,non trouve
PTN01460,1/3/4,TO_PTN01452_LAG20,1,100
PTN02428,3/2/21,TO_PTN02244_1/1/1,1,100
PTN02393,2/1/1,TO_PTN0056_10/2/4,1,20
PTN00187,3/1/20,TO_PTN00464_1/1/7,NA,NA
PTN01104,1/4/3,TO_PTN00336_4/2/15,1,1000
PTN00125,3/2/12,TO_PTN01472_1/2/7,non trouve,non trouve
PTN02264,1/2/5,TO_PTN00737_1/2/5,1,10
PTN00004,2/1/1,TO_PTN00132_2/1/1,1,10
PTN01459,1/1/3,TO_PTN00895_LAG_20,1,10
PTN01839,3/2/1,TO_PTN01868_1/1/7,NA,NA
PTN01401,1/2/1,TO_PTN00210_4/1/5,1,100
PTN00229,1/1/2,TO_PTN00228_LAG_20,1,10
PTN01309,1/1/7,TO_PTN01310_1/2/7,non trouve,non trouve
PTN01423,1/3/1,TO_PTN02335_1/2/1,1,100
